,_id,Customer ID,username,Customer Names,Email IDs,Country,adults,children,Total People,Reserved Room_Type,check_in,check_out,Meals,reservation_status,reservation_status_date,Price
95,96,97,duartealicia,Nicole Bass,nicole.bass@example.com,Portugal,1,0,1,Standard Room,2015-07-11,2015-07-18,Half Board,Check-Out,2015-07-14,145
102,103,104,gouldandrew,Sandra Smith,sandra.smith@example.com,Portugal,1,0,1,Standard Room,2015-07-11,2015-07-18,Half Board,Check-Out,2015-07-14,145
112,113,114,gerald26,Michael Higgins,michael.higgins@example.com,Portugal,3,0,3,Standard Room,2015-07-11,2015-07-18,Half Board,Check-Out,2015-07-14,235
123,124,125,huangvictoria,Matthew Pierce,matthew.pierce@example.com,Portugal,2,1,3,Standard Room,2015-07-13,2015-07-20,Bed & Breakfast,No-Show,2015-07-13,175
127,128,129,mezagary,Samuel Sanchez,samuel.sanchez@example.com,Portugal,1,0,1,Standard Room,2015-07-13,2015-07-20,Bed & Breakfast,No-Show,2015-07-13,125
140,141,142,sharris,Debra Lynn,debra.lynn@example.com,Portugal,1,0,1,Standard Room,2015-07-15,2015-07-22,Bed & Breakfast,Canceled,2015-07-02,125
141,142,143,smartin,Richard Lewis,richard.lewis@example.com,Portugal,1,0,1,Standard Room,2015-07-15,2015-07-22,Bed & Breakfast,Canceled,2015-05-27,125
148,149,150,maryrodriguez,Amy Morrow,amy.morrow@example.com,Portugal,1,0,1,Standard Room,2015-07-17,2015-07-24,Bed & Breakfast,Canceled,2015-07-13,125
149,150,151,aaron62,Heather Kelly,heather.kelly@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,125
150,151,152,martinezcheryl,Gary Robertson,gary.robertson@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,125
151,152,153,knightbrenda,Laura Delgado,laura.delgado@example.com,Portugal,3,0,3,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,175
159,160,161,candace58,Caroline Jones,caroline.jones@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,125
162,163,164,kscott,Jeffery Bryant,jeffery.bryant@example.com,Portugal,3,0,3,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,175
166,167,168,louis21,Juan Spencer,juan.spencer@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,125
167,168,169,oschmidt,Tonya Smith,tonya.smith@example.com,Portugal,3,0,3,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,175
169,170,171,sandovalsusan,Marie Craig,marie.craig@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-20,125
171,172,173,jack45,Margaret Wood,margaret.wood@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Half Board,Check-Out,2015-07-21,145
190,191,192,wattsregina,Krista Burns,krista.burns@example.com,Portugal,3,0,3,Standard Room,2015-07-18,2015-07-25,Half Board,Check-Out,2015-07-21,235
196,197,198,villegaserin,Debbie Hart,debbie.hart@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-22,125
200,201,202,leonardthomas,Wesley Stafford,wesley.stafford@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Canceled,2015-07-18,125
203,204,205,cassieanderson,Brittany Williams,brittany.williams@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-22,125
214,215,216,rubiopaul,Vincent Shaw,vincent.shaw@example.com,Portugal,3,0,3,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-22,175
220,221,222,karicollins,Jennifer Rivera PhD,jennifer.rivera.phd@example.com,Portugal,1,0,1,Standard Room,2015-07-18,2015-07-25,Bed & Breakfast,Check-Out,2015-07-22,125
229,230,231,crystalmelton,Jason Simon,jason.simon@example.com,Portugal,1,0,1,Standard Room,2015-07-19,2015-07-26,Bed & Breakfast,Canceled,2015-06-29,125
231,232,233,delgadoronnie,Anthony Huang,anthony.huang@example.com,Portugal,1,0,1,Standard Room,2015-07-20,2015-07-27,Bed & Breakfast,Canceled,2015-07-09,125
239,240,241,amandamoore,Nichole Chandler,nichole.chandler@example.com,Portugal,3,0,3,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,175
251,252,253,robertfranklin,Robert Bell,robert.bell@example.com,Portugal,1,0,1,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,125
252,253,254,kimberly96,Edward Thomas,edward.thomas@example.com,Portugal,3,0,3,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,175
259,260,261,ramosmark,Courtney Castillo,courtney.castillo@example.com,Portugal,1,0,1,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,125
270,271,272,xbaker,Cassandra Young,cassandra.young@example.com,Portugal,3,0,3,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,175
273,274,275,stephen23,Amber Williamson DDS,amber.williamson.dds@example.com,Portugal,1,0,1,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Canceled,2015-06-12,125
280,281,282,sanchezsteven,Kevin Watkins MD,kevin.watkins.md@example.com,Portugal,1,0,1,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,125
283,284,285,kramirez,Jessica Russell,jessica.russell@example.com,Portugal,1,0,1,Standard Room,2015-07-22,2015-07-29,Bed & Breakfast,Check-Out,2015-07-24,125
297,298,299,vcooper,Mercedes Harris,mercedes.harris@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Check-Out,2015-07-24,145
300,301,302,jeffreyray,Robert Mcguire,robert.mcguire@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Check-Out,2015-07-24,145
309,310,311,ronald84,Robert Martin,robert.martin@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Check-Out,2015-07-24,145
313,314,315,pwoods,Maria Smith,maria.smith@example.com,Portugal,3,0,3,Standard Room,2015-07-23,2015-07-30,Half Board,Check-Out,2015-07-24,235
316,317,318,petersonpriscilla,Michelle Trevino,michelle.trevino@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Check-Out,2015-07-24,145
326,327,328,williamodom,Raymond Trevino Jr.,raymond.trevino.jr.@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Bed & Breakfast,Canceled,2015-04-24,125
328,329,330,bholt,Leslie Doyle,leslie.doyle@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Canceled,2015-07-21,145
331,332,333,spencerangela,Carol Chambers,carol.chambers@example.com,Portugal,1,0,1,Standard Room,2015-07-23,2015-07-30,Half Board,Canceled,2015-07-21,145
334,335,336,gomezandrew,Abigail Jones,abigail.jones@example.com,Portugal,2,1,3,Deluxe Room,2015-07-24,2015-07-31,Bed & Breakfast,Check-Out,2015-07-26,225
335,336,337,jonlewis,Stacie Potter,stacie.potter@example.com,Portugal,2,1,3,Deluxe Room,2015-07-24,2015-07-31,Bed & Breakfast,Check-Out,2015-07-26,225
336,337,338,gmyers,Jessica Thomas,jessica.thomas@example.com,Portugal,1,0,1,Deluxe Room,2015-07-24,2015-07-31,Bed & Breakfast,Check-Out,2015-07-26,175
337,338,339,hardyevelyn,Leonard Welch,leonard.welch@example.com,Portugal,1,0,1,Deluxe Room,2015-07-24,2015-07-31,Bed & Breakfast,Check-Out,2015-07-26,175
338,339,340,rebeccabarr,Tina Guerra,tina.guerra@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-26,125
340,341,342,michael68,Thomas Patel,thomas.patel@example.com,Portugal,2,1,3,Deluxe Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-26,225
341,342,343,riveratyler,Alicia Weiss,alicia.weiss@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-26,125
342,343,344,melissasingh,Thomas Rose,thomas.rose@example.com,Portugal,2,1,3,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-26,175
343,344,345,cruzjames,Kristin Murphy,kristin.murphy@example.com,Portugal,3,0,3,Deluxe Room,2015-07-25,2015-08-01,Bed & Breakfast,Canceled,2015-04-24,225
348,349,350,aowens,Dustin Reeves,dustin.reeves@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-28,145
353,354,355,greenryan,David Perez,david.perez@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-28,145
361,362,363,williamsjustin,Anthony Robbins,anthony.robbins@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-28,145
365,366,367,robertjuarez,Kimberly Smith,kimberly.smith@example.com,Italy,1,0,1,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-28,145
375,376,377,oscar53,Lisa Aguilar,lisa.aguilar@example.com,Portugal,3,0,3,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-28,235
380,381,382,fischereric,Paul Morris,paul.morris@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-29,125
391,392,393,conleydaisy,Christy Andrade,christy.andrade@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-29,125
394,395,396,jenna67,Julie Miranda,julie.miranda@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Half Board,Check-Out,2015-07-29,145
396,397,398,veronicawhite,Patricia Boone,patricia.boone@example.com,Portugal,1,0,1,Standard Room,2015-07-25,2015-08-01,Bed & Breakfast,Check-Out,2015-07-29,125
423,424,425,jjohnson,Amanda Richardson,amanda.richardson@example.com,Spain,3,0,3,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,175
432,433,434,tylershah,Krystal Gonzales,krystal.gonzales@example.com,Spain,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,125
433,434,435,dixonkimberly,Scott Juarez,scott.juarez@example.com,Spain,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,125
437,438,439,jody60,Keith Frye,keith.frye@example.com,Portugal,3,0,3,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,175
440,441,442,vazquezwilliam,Richard Sanchez,richard.sanchez@example.com,Spain,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,125
441,442,443,dodsonmichael,Rebecca Bennett,rebecca.bennett@example.com,Spain,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,125
452,453,454,stewartjacqueline,Calvin Baker,calvin.baker@example.com,Spain,3,0,3,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,175
458,459,460,vbradford,Maria Hawkins DVM,maria.hawkins.dvm@example.com,Spain,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-29,125
461,462,463,kray,Teresa Hunter,teresa.hunter@example.com,Portugal,3,0,3,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Canceled,2015-07-22,175
465,466,467,ericksonedward,Renee Myers,renee.myers@example.com,Portugal,1,0,1,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-07-30,125
470,471,472,melissaroberts,Gloria Pierce,gloria.pierce@example.com,United Kingdom,2,1,3,Standard Room,2015-07-27,2015-08-03,Bed & Breakfast,Check-Out,2015-08-06,175
474,475,476,meganmanning,Jeffrey Nguyen,jeffrey.nguyen@example.com,Portugal,1,0,1,Standard Room,2015-07-28,2015-08-04,Bed & Breakfast,Check-Out,2015-07-30,125
477,478,479,sclark,Maria Perry,maria.perry@example.com,Romania,2,1,3,Standard Room,2015-07-28,2015-08-04,Bed & Breakfast,Check-Out,2015-07-31,175
478,479,480,shannon51,Steven Cameron,steven.cameron@example.com,Germany,3,0,3,Standard Room,2015-07-28,2015-08-04,Bed & Breakfast,Check-Out,2015-08-04,175
480,481,482,smithbrandon,Antonio Garcia,antonio.garcia@example.com,Portugal,1,0,1,Standard Room,2015-07-29,2015-08-05,Bed & Breakfast,Check-Out,2015-07-30,125
484,485,486,dawnperez,Charles Davis,charles.davis@example.com,Portugal,2,1,3,Standard Room,2015-07-29,2015-08-05,Bed & Breakfast,Check-Out,2015-08-01,175
485,486,487,coledakota,Tracey Nichols,tracey.nichols@example.com,Portugal,2,1,3,Standard Room,2015-07-29,2015-08-05,Bed & Breakfast,Canceled,2015-06-03,175
488,489,490,clementsbrian,Sarah Graham,sarah.graham@example.com,Portugal,1,0,1,Standard Room,2015-07-29,2015-08-05,Bed & Breakfast,Check-Out,2015-07-30,125
494,495,496,alanrobinson,Lauren Hughes,lauren.hughes@example.com,United Kingdom,1,0,1,Standard Room,2015-07-31,2015-08-07,Bed & Breakfast,Check-Out,2015-08-05,125
495,496,497,matthew86,Thomas Mcclure,thomas.mcclure@example.com,Portugal,2,1,3,Standard Room,2015-07-31,2015-08-07,Bed & Breakfast,Check-Out,2015-08-09,175
498,499,500,susan19,David Ingram,david.ingram@example.com,Portugal,1,0,1,Standard Room,2015-07-31,2015-08-07,Bed & Breakfast,No-Show,2015-07-31,125
501,502,503,robertanderson,Jessica Erickson,jessica.erickson@example.com,Italy,1,0,1,Standard Room,2015-08-01,2015-08-08,Half Board,Check-Out,2015-08-04,145
511,512,513,lisa84,Rhonda Price,rhonda.price@example.com,Italy,3,0,3,Standard Room,2015-08-01,2015-08-08,Half Board,Check-Out,2015-08-04,235
517,518,519,starkmichael,Mark Oconnell,mark.oconnell@example.com,Italy,1,0,1,Standard Room,2015-08-01,2015-08-08,Half Board,Check-Out,2015-08-04,145
524,525,526,nmayo,Timothy Curtis,timothy.curtis@example.com,Italy,1,0,1,Standard Room,2015-08-01,2015-08-08,Half Board,Check-Out,2015-08-04,145
530,531,532,annanicholson,Joel Gibbs,joel.gibbs@example.com,Italy,1,0,1,Standard Room,2015-08-01,2015-08-08,Half Board,Check-Out,2015-08-04,145
533,534,535,xgonzales,Ashley Parker,ashley.parker@example.com,Angola,1,0,1,Presidential Suite,2015-08-02,2015-08-09,Bed & Breakfast,Check-Out,2015-08-03,375
536,537,538,georgeglenn,Kristin Lopez,kristin.lopez@example.com,Portugal,1,2,3,Suite,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-04,375
541,542,543,dbennett,Barbara Warren,barbara.warren@example.com,Portugal,2,1,3,Executive Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-06,275
565,566,567,lawrencemarvin,Jaclyn Taylor,jaclyn.taylor@example.com,Spain,1,0,1,Standard Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-07,125
566,567,568,nicolemartin,Jeffrey Hines,jeffrey.hines@example.com,Spain,3,0,3,Standard Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-07,175
571,572,573,anne05,Christopher Williams,christopher.williams@example.com,Spain,1,0,1,Standard Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-07,125
576,577,578,richardsangela,Joanne Horton,joanne.horton@example.com,Spain,3,0,3,Standard Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-07,175
577,578,579,ydennis,David Durham,david.durham@example.com,Portugal,1,0,1,Standard Room,2015-08-03,2015-08-10,Bed & Breakfast,Check-Out,2015-08-07,125
584,585,586,barbara21,Amanda Rogers,amanda.rogers@example.com,Portugal,1,0,1,Standard Room,2015-08-04,2015-08-11,Bed & Breakfast,Canceled,2015-08-03,125
586,587,588,deborahroberts,Ana Camacho,ana.camacho@example.com,Spain,3,0,3,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,175
588,589,590,cpatterson,Julian Church MD,julian.church.md@example.com,Portugal,3,0,3,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,175
595,596,597,barbaravazquez,Rachel Jones,rachel.jones@example.com,Angola,1,0,1,Presidential Suite,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-06,375
596,597,598,alan14,Timothy Huang,timothy.huang@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Canceled,2015-08-04,125
597,598,599,williamsmatthew,Brian Thompson,brian.thompson@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Canceled,2015-08-04,125
598,599,600,arthur48,Thomas Ray,thomas.ray@example.com,Portugal,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-06,125
608,609,610,mtorres,Paula Johnson,paula.johnson@example.com,Spain,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,125
616,617,618,taylorsamuel,Eric Pugh,eric.pugh@example.com,Germany,3,0,3,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,175
628,629,630,barnetteric,Jessica Leon,jessica.leon@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
633,634,635,shafferdarren,Christopher Walker,christopher.walker@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Canceled,2015-08-04,125
636,637,638,bcarlson,Tina Mccoy,tina.mccoy@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
642,643,643,pcox,Melvin Mccullough,melvin.mccullough@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
643,644,644,denniskurt,Brandon Frye,brandon.frye@example.com,Portugal,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
648,649,649,blacklarry,Beth Thompson,beth.thompson@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
649,650,650,obarrett,Mackenzie Palmer,mackenzie.palmer@example.com,Russian Federation,3,0,3,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,175
655,656,656,danielwhite,Brent Davis,brent.davis@example.com,Ireland,2,1,3,Suite,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,375
658,659,659,briangray,Katherine Diaz,katherine.diaz@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
661,662,662,shane26,Natalie Miller,natalie.miller@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Canceled,2015-08-04,125
663,664,664,robertdillon,Sean Tran,sean.tran@example.com,Russian Federation,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-08,125
670,671,671,paulphelps,Yvonne Lam,yvonne.lam@example.com,Spain,3,0,3,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,175
673,674,674,ashley96,Brooke Bennett,brooke.bennett@example.com,Spain,1,0,1,Standard Room,2015-08-05,2015-08-12,Bed & Breakfast,Check-Out,2015-08-07,125
675,676,676,lewisjason,Kenneth Snyder,kenneth.snyder@example.com,Portugal,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-07,125
677,678,391,jessicadavid,Robert Garcia,robert.garcia@example.com,China,1,0,1,Standard Room,2015-08-06,2015-08-13,No Meal,Check-Out,2015-08-07,100
679,680,679,rebecca58,Amanda Hale,amanda.hale@example.com,Portugal,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-07,125
686,687,686,jeffrey31,Mark Ball,mark.ball@example.com,Portugal,1,0,1,Standard Room,2015-08-06,2015-08-13,No Meal,Check-Out,2015-08-08,100
687,688,687,turneremily,Kathryn Henry,kathryn.henry@example.com,Portugal,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-08,125
690,691,690,msanchez,Shaun Smith Jr.,shaun.smith.jr.@example.com,France,2,1,3,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-09,175
692,693,692,fmckinney,Christina Jones,christina.jones@example.com,Germany,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-11,125
693,694,693,jacobbright,Jennifer Stout,jennifer.stout@example.com,Germany,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-11,125
694,695,694,jessicarodriguez,Jonathan Stevens,jonathan.stevens@example.com,Angola,1,0,1,Standard Room,2015-08-06,2015-08-13,Bed & Breakfast,Check-Out,2015-08-13,125
707,708,707,mikaylatran,Scott Schaefer,scott.schaefer@example.com,Spain,3,0,3,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,175
712,713,712,karenmaldonado,Miranda Rogers,miranda.rogers@example.com,Portugal,1,0,1,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,125
721,722,721,wesley26,Juan Cross,juan.cross@example.com,Spain,3,0,3,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,175
724,725,724,parrishrachael,Melissa Foster,melissa.foster@example.com,Portugal,1,0,1,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,125
726,727,726,brendajohnson,Larry Smith,larry.smith@example.com,Spain,3,0,3,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,175
733,734,733,kross,Leslie Scott,leslie.scott@example.com,Spain,1,0,1,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-09,125
742,743,742,carloscook,Debbie Massey,debbie.massey@example.com,Portugal,1,0,1,Presidential Suite,2015-08-07,2015-08-14,Half Board,Check-Out,2015-08-11,395
747,748,747,lauriejohns,Ashley Gonzalez,ashley.gonzalez@example.com,Spain,1,0,1,Standard Room,2015-08-07,2015-08-14,Bed & Breakfast,Check-Out,2015-08-12,125
753,754,753,hartmanchristopher,Madison Weaver,madison.weaver@example.com,France,1,0,1,Standard Room,2015-08-08,2015-08-15,Bed & Breakfast,Check-Out,2015-08-09,125
754,755,754,erica31,Robert Levy,robert.levy@example.com,Portugal,1,2,3,Executive Room,2015-08-08,2015-08-15,Bed & Breakfast,Check-Out,2015-08-09,275
